4,0
6,0
8,0
10,0
16,0
18,0
20,0
22,0
40,0
42,0
44,0
46,0
52,0
54,0
56,0
58,0
4,2
6,2
8,2
10,2
12,2
14,2
16,2
18,2
20,2
22,2
24,2
26,2
36,2
38,2
40,2
42,2
44,2
46,2
48,2
50,2
52,2
54,2
56,2
58,2
4,4
6,4
8,4
10,4
12,4
14,4
16,4
18,4
20,4
22,4
24,4
26,4
36,4
38,4
40,4
42,4
44,4
46,4
48,4
50,4
52,4
54,4
56,4
58,4
4,6
6,6
8,6
10,6
12,6
14,6
16,6
18,6
20,6
22,6
24,6
26,6
36,6
38,6
40,6
42,6
44,6
46,6
48,6
50,6
52,6
54,6
56,6
58,6
4,9
6,9
8,9
10,9
12,9
14,9
16,9
18,9
20,9
22,9
24,9
26,9
32,9
34,9
36,9
38,9
40,9
42,9
44,9
46,9
48,9
50,9
52,9
54,9
56,9
58,9
4,11
6,11
8,11
10,11
12,11
14,11
16,11
18,11
20,11
22,11
24,11
26,11
32,11
34,11
36,11
38,11
40,11
42,11
44,11
46,11
48,11
50,11
52,11
54,11
56,11
58,11
4,13
6,13
8,13
10,13
12,13
14,13
16,13
18,13
20,13
22,13
24,13
26,13
32,13
34,13
36,13
38,13
40,13
42,13
44,13
46,13
48,13
50,13
52,13
54,13
56,13
58,13
4,15
6,15
8,15
10,15
12,15
14,15
16,15
18,15
20,15
22,15
24,15
26,15
32,15
34,15
36,15
38,15
40,15
42,15
44,15
46,15
48,15
50,15
52,15
54,15
56,15
58,15
4,17
6,17
8,17
10,17
12,17
14,17
16,17
18,17
20,17
22,17
24,17
26,17
32,17
34,17
36,17
38,17
40,17
42,17
44,17
46,17
48,17
50,17
52,17
54,17
56,17
58,17
4,19
6,19
8,19
10,19
12,19
14,19
16,19
18,19
20,19
22,19
24,19
26,19
32,19
34,19
36,19
38,19
40,19
42,19
44,19
46,19
48,19
50,19
52,19
54,19
56,19
58,19
4,21
6,21
8,21
10,21
12,21
14,21
16,21
18,21
20,21
22,21
24,21
26,21
32,21
34,21
36,21
38,21
40,21
42,21
44,21
46,21
48,21
50,21
52,21
54,21
56,21
58,21
4,23
6,23
8,23
10,23
12,23
14,23
16,23
18,23
20,23
22,23
24,23
26,23
32,23
34,23
36,23
38,23
40,23
42,23
44,23
46,23
48,23
50,23
52,23
54,23
56,23
58,23
4,26
6,26
8,26
10,26
12,26
14,26
16,26
18,26
20,26
22,26
24,26
26,26
28,26
30,26
32,26
34,26
36,26
38,26
40,26
42,26
44,26
46,26
48,26
50,26
52,26
54,26
56,26
58,26
4,28
6,28
8,28
10,28
16,28
18,28
20,28
22,28
28,28
30,28
32,28
34,28
40,28
42,28
44,28
46,28
52,28
54,28
56,28
58,28
4,30
6,30
8,30
10,30
16,30
18,30
20,30
22,30
28,30
30,30
32,30
34,30
40,30
42,30
44,30
46,30
52,30
54,30
56,30
58,30
4,32
6,32
8,32
10,32
16,32
18,32
20,32
22,32
28,32
30,32
32,32
34,32
40,32
42,32
44,32
46,32
52,32
54,32
56,32
58,32
4,34
6,34
8,34
10,34
12,34
14,34
16,34
18,34
20,34
22,34
24,34
26,34
32,34
34,34
36,34
38,34
40,34
42,34
44,34
46,34
48,34
50,34
52,34
54,34
56,34
58,34
4,36
6,36
8,36
10,36
12,36
14,36
16,36
18,36
20,36
22,36
24,36
26,36
32,36
34,36
36,36
38,36
40,36
42,36
44,36
46,36
48,36
50,36
52,36
54,36
56,36
58,36
4,38
6,38
8,38
10,38
12,38
14,38
16,38
18,38
20,38
22,38
24,38
26,38
32,38
34,38
36,38
38,38
40,38
42,38
44,38
46,38
48,38
50,38
52,38
54,38
56,38
58,38
4,40
6,40
8,40
10,40
12,40
14,40
16,40
18,40
20,40
22,40
24,40
26,40
32,40
34,40
36,40
38,40
40,40
42,40
44,40
46,40
48,40
50,40
52,40
54,40
56,40
58,40
12,31
14,31
24,31
26,31
36,31
38,31
48,31
50,31
2,1
1,3
2,28
2,30
1,5
1,6
1,7
1,9
1,10
1,11
1,13
1,14
1,15
1,17
1,18
1,19
1,22
1,23
1,24
1,33
1,34
1,35
1,38
1,39
1,40
28,34
30,34
28,36
30,36
28,38
30,38
28,40
30,40
